performer,main_artist_suggested
The Manhattans,The Manhattans
Baby Bash Featuring Akon,Baby Bash
Idina Menzel Duet With Michael Buble,Idina Menzel Duet
JoJo Featuring Bow Wow,JoJo
Smith,Smith
King Floyd,King Floyd
Detroit Emeralds,Detroit Emeralds
Regina,Regina
Fantasia,Fantasia
The Shells,The Shells
J.J. Barnes,J.J. Barnes
Pinkfong,Pinkfong
Betty Wright,Betty Wright
Jefferson,Jefferson
The Knack,The Knack
Glenn Yarbrough,Glenn Yarbrough
The Peppermint Trolley Company,The Peppermint Trolley Company
Brenton Wood,Brenton Wood
Mickey & Sylvia,Mickey
Jellyfish,Jellyfish
The Equals,The Equals
Carl Graves,Carl Graves
George LaMond,George LaMond
Peter Frampton,Peter Frampton
Will To Power,Will To Power
Seals & Crofts,Seals
The Originals,The Originals
Bebe Rexha Featuring Doja Cat,Bebe Rexha
Jody Miller,Jody Miller
David Gray,David Gray
matchbox 20,matchbox 20
Cameo,Cameo
Brian McKnight,Brian McKnight
The Rondels,The Rondels
Derek,Derek
BBMak,BBMak
The Buckinghams,The Buckinghams
Maze Featuring Frankie Beverly,Maze
Prince Royce Featuring Jennifer Lopez & Pitbull,Prince Royce
Ghostface Killah Featuring Ne-Yo,Ghostface Killah
The Jags,The Jags
Robbie Nevil,Robbie Nevil
Gucci Mane & Drake,Gucci Mane
The Sunshine Company,The Sunshine Company
Mike Jones,Mike Jones
Thirty Eight Special,Thirty Eight Special
Tight Fit,Tight Fit
Leon Russell,Leon Russell
